CRF,Original variable,SDTM Domain,SDTM variable,Data Type,mapping instruction
10,256,12,100,0,393
10,256,12,101,0,289
10,256,12,105,0,393
10,256,12,106,1,364
10,256,12,107,0,289
10,249,12,109,0,270
10,249,12,108,0,271
10,249,12,100,0,393
10,249,12,101,0,289
10,249,12,105,0,393
10,249,12,106,1,364
10,249,12,107,0,289
11,249,12,96,0,269
11,249,12,51,0,297
11,249,12,98,0,265
11,285,12,99,0,356
11,284,12,99,0,267
11,266,12,104,0,357
11,270,12,103,0,364
11,278,5,65,0,59
11,249,12,110,0,299
11,280,12,109,0,281
11,280,12,108,0,282
11,280,12,100,0,393
11,282,12,101,0,394
11,280,12,105,0,393
11,280,12,106,1,390
11,282,12,107,0,272
11,274,12,102,0,220
11,268,12,109,0,276
11,268,12,108,0,275
11,268,12,100,0,393
11,268,12,101,0,285
11,268,12,105,0,393
11,268,12,106,1,364
11,268,12,107,0,286
11,272,12,109,0,277
11,272,12,108,0,278
11,272,12,100,0,393
11,272,12,101,0,287
11,272,12,105,0,393
11,272,12,106,1,364
11,272,12,107,0,288
11,276,12,109,0,279
11,276,12,108,0,280
11,276,12,100,0,393
11,276,12,101,0,289
11,276,12,105,0,393
11,276,12,106,1,364
11,276,12,107,0,289
11,264,12,109,0,270
11,264,12,108,0,271
11,264,12,100,0,393
11,264,12,101,0,289
11,264,12,105,0,393
11,264,12,106,1,364
11,264,12,107,0,289
11,285,12,99,0,356
11,283,12,99,0,267
11,265,12,104,0,357
11,269,12,103,0,364
11,277,5,65,0,59
11,249,12,110,0,298
11,279,12,109,0,281
11,279,12,108,0,282
11,279,12,100,0,393
11,281,12,101,0,394
11,279,12,105,0,393
11,279,12,106,1,390
11,281,12,107,0,272
11,273,12,102,0,220
11,267,12,109,0,276
11,267,12,108,0,275
11,267,12,100,0,393
11,267,12,101,0,285
11,267,12,105,0,393
11,267,12,106,1,364
11,267,12,107,0,286
11,271,12,109,0,277
11,271,12,108,0,278
11,271,12,100,0,393
11,271,12,101,0,287
11,271,12,105,0,393
11,271,12,106,1,364
11,271,12,107,0,288
11,275,12,109,0,279
11,275,12,108,0,280
11,275,12,100,0,393
11,275,12,101,0,289
11,275,12,105,0,393
11,275,12,106,1,364
11,275,12,107,0,289
11,263,12,109,0,270
11,263,12,108,0,271
11,263,12,100,0,393
11,263,12,101,0,289
11,263,12,105,0,393
11,263,12,106,1,364
11,263,12,107,0,289
8,249,7,96,0,269
8,249,7,51,0,296
8,249,7,98,0,265
8,227,7,76,0,356
8,226,7,76,0,267
8,206,7,79,0,334
8,209,7,78,0,364
8,206,7,82,0,219
8,215,7,82,0,134
8,215,7,81,0,141
8,215,7,77,0,323
8,195,7,77,0,382
8,195,7,80,0,375
8,215,7,79,0,340
8,249,7,78,0,302
8,213,7,82,0,125
8,213,7,81,0,129
8,213,7,77,0,321
8,193,7,77,0,380
8,193,7,80,0,375
8,213,7,79,0,338
8,249,7,78,0,302
